timestamp;Verzendnummer;Bestemmings code;Verdeel code;Aantal op stikker;Source;Source Subtype;Source ID;Source Ref_ No_;Box activiteit entry;Dehner Order Entry;Dehner Order Regel Entry Rgl;Dehner Order Verdeel Entry Rgl;Voorbouw Inkooporder nummer;Voorbouw Klantnummer;Voorbouw KarId
0x000000002B31ADB5;45665;00398174880015343710990440;3054014540003244002300000100000100010001;1.00000000000000000000;37;1;KO23-07630;320000;11800890;141670;320000;1570000;;;0
0x000000002B31ADB9;45665;00398174880015343710990440;3054030770001944002300000700000700010001;7.00000000000000000000;37;1;KO23-07669;190000;11812255;141699;190000;1830000;;;0
0x000000002B31ADBF;45665;00398174880015343710990440;3054030770002044002300000600000600010001;6.00000000000000000000;37;1;KO23-07669;200000;11807441;141699;200000;2010000;;;0
0x000000002B31ADBD;45665;00398174880015343710990440;3054031140000644002300000200000200010001;2.00000000000000000000;37;1;KO23-07674;60000;11807535;141704;60000;360000;;;0
0x000000002B31ADBB;45665;00398174880015343710990440;3054036670000844002300000500000500010001;5.00000000000000000000;37;1;KO23-07679;80000;11801686;141710;80000;480000;;;0
0x000000002B31ADB7;45665;00398174880015343710990440;3054036670005444002300000200000200010001;2.00000000000000000000;37;1;KO23-07679;540000;11805545;141710;540000;5810000;;;0
0x000000002B31ADB1;45665;00398174880015343710990440;3054040750000844002300000200000200010001;2.00000000000000000000;37;1;KO23-07684;80000;11806070;141717;80000;1260000;;;0
0x000000002B31ADC1;45665;00398174880015343710990440;3054041070000144002300000300000300010001;3.00000000000000000000;37;1;KO23-07695;10000;11812819;141722;10000;60000;;;0
0x000000002B31ADA9;45665;00398174880015343710990440;3054041070001444002300000400000400010001;4.00000000000000000000;37;1;KO23-07695;140000;11811272;141722;140000;2530000;;;0
0x000000002B31ADAB;45665;00398174880015343710990440;3054041540000544002300000300000300010001;3.00000000000000000000;37;1;KO23-07706;50000;11809271;141729;50000;560000;;;0
0x000000002B31ADAF;45665;00398174880015343710990440;3054042690012144002300001200001200010001;12.00000000000000000000;37;1;KO23-07720;1210000;11811804;141742;1210000;5720000;;;0
0x000000002B31ADB3;45665;00398174880015343710990440;3054042690012544002300000600000600010001;6.00000000000000000000;37;1;KO23-07720;1250000;11812172;141742;1250000;7160000;;;0
0x000000002B31ADAD;45665;00398174880015343710990440;3054042700004144002300000400000400010001;4.00000000000000000000;37;1;KO23-07721;410000;11810555;141743;410000;1480000;;;0
0x000000002B321CA1;45666;00398174880015344120990440;3054014510003744000600000100000100010001;1.00000000000000000000;37;1;KO23-07633;370000;11799312;141667;370000;830000;;;0
0x000000002B321CA9;45666;00398174880015344120990440;3054014510007044000600000100000100010001;1.00000000000000000000;37;1;KO23-07633;700000;11806856;141667;700000;1700000;;;0
0x000000002B321C9F;45666;00398174880015344120990440;3054014510007144000600000200000200010001;2.00000000000000000000;37;1;KO23-07633;710000;11800441;141667;710000;1720000;;;0
