No_;Search Name;Code Collistikkers;Zoeknaam2
K501001;DEHNER HOLDING GMBH & CO. KG;000-;0
K510001;WIEN II (SIMMERING);003-WIEN II S;3
K510002;VOELS-CYTA;004-VOELS-CYTA;4
K510003;ST.POELTEN;005-ST.POELTEN;5
K510004;SEIERSBERG;006-SEIERSBERG;6
K510005;HIRSCHSTETTEN;007-WIEN-HIRSCH;7
K510006;BRUNN AM GEBIRGE;008-BRUNN AM G;8
K510007;HOHENEMS;009-HOHENEMS;9
K510008;LINZ;010-PASCHING-LI;10
K510009;MAINZ-HEIDESHEIM;011-HEIDESHEIM;11
K510010;WITTEN;012-WITTEN;12
K510011;BENSHEIM;013-BENSHEIM;13
K510012;ROEDENTAL;014-ROEDENTAL;14
K510013;CASTROP-RAUXEL;015-CASTROP-RA;15
K510014;EICHENZELL;016-EICHENZELL;16
K510015;FUERTH;017-FUERTH;17
K510016;LUDWIGSHAFEN;018-LUDWIGSHAF;18
K510017;SCHWAEBISCH HALL;019-SCHWAEBISC;19
K510018;HEIDENHEIM;020-HEIDENHEIM;20
K510019;RASTATT;021-RASTATT;21
K510020;HALLE;022-HALLE;22
K510021;MAINASCHAFF;023-MAINASCHAF;23
K510022;BAYREUTH;024-BAYREUTH;24
K510023;WORMS;025-WORMS;25
K510024;HOMBURG;026-HOMBURG;26
K510025;TRIER;027-TRIER;27
K510026;CHEMNITZ;028-CHEMNITZ-RO;28
K510027;FRANKENTHAL;029-FRANKENTHA;29
K510028;AMBERG;030-AMBERG;30
K510029;PLOCHINGEN;031-PLOCHINGEN;31
K510030;NEUTRAUBLING;032-NEUTRAUBLI;32
K510031;MEERANE;033-MEERANE;33
K510032;NEU-ULM;034-NEU-ULM;34
K510033;SAARBRUECKEN;035-SAARBRUECK;35
K510034;SCHWEINFURT;036-SCHWEINFUR;36
K510035;SCHWAEBISCH GMUEND;037-SCHWAEBISC;37
K510036;PEISSENBERG;038-PEISSENBER;38
K510037;TAUCHA;039-TAUCHA;39
K510038;HANAU;040-HANAU;40
K510039;STRAUBING;041-STRAUBING;41
K510040;HOFHEIM;042-HOFHEIM;42
K510041;AUGSBURG I (LECHHAUSEN);043-AUGSB I (L);43
K510042;KAUFBEUREN;044-KAUFBEUREN;44
K510043;MARKKLEEBERG;045-MARKKLEEBE;45
K510044;SINGEN;046-SINGEN;46
K510045;ULLA;047-ULLA-NOHRA;47
K510046;NEUOETTING;048-NEUOETTING;48
K510047;ALBSTADT;049-ALBSTADT;49
K510048;BROCKWITZ;050-BROCKWITZ;50
K510049;MEMMINGEN;051-MEMMINGEN;51
K510050;SAUERLACH;052-SAUERLACH;52
K510051;DRESDEN I;053-DRESDEN I;53
K510052;WEIDEN;054-WEIDEN;54
K510053;PASSAU;055-PASSAU;55
K510054;FREISING;056-FREISING;56
K510055;OBERKOTZAU;057-OBERKOTZAU;57
K510056;WEIL;058-WEIL;58
K510057;NEUSTADT;059-NEUSTADT;59
K510058;MANNHEIM;060-MANNHEIM;60
K510059;NEUWIED;061-NEUWIED;61
K510060;LAHR;062-LAHR;62
K510061;BAD DUERRHEIM;063-BAD DUERRH;63
K510062;BAD KREUZNACH;064-BAD KREUZN;64
K510063;KOBLENZ;065-KOBLENZ;65
K510064;KOENIGSBRUNN;066-KOENIGSBRU;66
K510065;WOLFRATSHAUSEN;067-WOLFRATSHA;67
K510066;FRIEDRICHSHAFEN;068-FRIEDRICHS;68
K510067;EISLINGEN;069-EISLINGEN;69
K510068;MUENCHEN IV (MOOSACH);070-MUENCH. IV;70
K510069;KEMPTEN;071-KEMPTEN;71
K510070;MUENCHEN III FORSTENRIED;073-MUENCH. III;73
K510071;GERMERING;074-GERMERING;74
K510072;MUENCHEN I (VIKT.-MARKT);075-MUENCH. I;75
K510073;NUERNBERG I;076-NUERNB I;76
K510074;KAISERSLAUTERN;078-KAISERSLAU;78
K510075;SENDEN;080-SENDEN;80
K510076;RAIN (BLUMENPARK);082-RAIN (BLUM;82
K510077;NUERNBERG II;083-NUERNB II;83
K510078;INGOLSTADT;084-INGOLSTADT;84
K510079;DIETZENBACH;085-DIETZENBAC;85
K510080;AUGSBURG III (ACKERM.);086-AUGSB III;86
K510081;AALEN;087-AALEN;87
K510082;LANDSHUT;088-LANDSHUT;88
K510083;MUENCHEN II (TRUDERING);089-MUENCH. II;89
K510084;STUTTGART;090-STUTTGART;90
K510085;HEIDELBERG;091-HEIDELBERG;91
K510086;WUERZBURG;092-WUERZBURG;92
K510087;BOEBLINGEN;093-BOEBLINGEN;93
K510088;PFULLINGEN;094-PFULLINGEN;94
K510089;BAMBERG;095-BAMBERG;95
K510090;SPEYER;096-SPEYER;96
K510091;KARLSRUHE;097-KARLSRUHE;97
K510092;RAVENSBURG;098-RAVENSBURG;98
K510093;TRAUNSTEIN;101-TRAUNSTEIN;101
K550185;FILDERSTADT;102-FILDERSTADT;102
K510094;KASSEL;103-KASSEL;103
K510095;D³SSELDORF;104-DUSSELDORF;104
K550196;PFORZHEIM;105-PFORZHEIM;105
K510096;ERLANGEN;106-ERLANGEN;106
K510097;HAMBURG I (SIEK);107-HAMBURG I;107
K510098;HAMBURG II (MARMSTORF);108-HAMBURG II;108
K510099;FRECHEN;109-FRECHEN;109
K510100;DRESDEN II;110-DRESDEN II;110
K510101;LANGENFELD;111-LANGENFELD;111
K510102;KAMEN;112-KAMEN;112
K550218;CHEMNITZ;113-CHEMNITZ;113
K550211;ERFURT;114-ERFURT;114
K510103;LANGENHAGEN;115-HANNOVER I;115
K550075;WEITERSTADT;116-WEITERSTADT;116
K510104;KIEL;117-KIEL;117
K550273;NEUMARKT IN DER OBERPFALZ;118-NEUMARKT;118
K550106;DEHNER-GARTENCENTER;119-FREIBURG;119
K550006;BÖNNINGSTEDT;120-BOENNINGSTE;120
K550275;NEUNKIRCHEN;121-NEUNKIRCHE;121
K550212;DUESSELDORF;122-DUESSELDOR;122
K550219;MONTABAUR-HEILIGENROTH;123-MONTABAUR;123
K550132;LIMBURG;124-LIMBURG;124
K550101;ERDING;125-ERDING;125
K550184;WAIBLINGEN;126-WAIBLINGEN;126
K550181;NUERNBERG III;127-NUERNBERG;127
K550120;KARLSBAD;128-KARLSBAD;128
K550163;FRANKFURT;129-FRANKFURT;129
K550183;INGOLSTADT II;130-INGOLSTADT;130
K550173;LANDSBERG-PEISSEN;131-HALLE-PEISS;131
K550182;WALDSHUT-TIENGEN;132-WALDSHUT;132
K550204;MUNSTER;133-MUNSTER;133
K550205;OSNABRUCK;134-OSNABRUCK;134
K550206;RHEINE;135-RHEINE;135
K550220;BOUS;136-BOUS;136
K550226;HOECHSTADT;137-HOECHSTADT;137
K550248;GOEPPINGEN;138-GOEPPINGEN;138
K550056;HORB;140-HORB;140
K550060;BIBERACH;141-BIBERACH;141
K550105;ROSENHEIM;160-ROSENHEIM;160
K550099;ZOO GEISLINGEN;161-GEISLINGEN;161
K550134;SINDELFINGEN;164-SINDELFINGE;164
K550133;WELS;170-WELS;170
K550207;WIENER NEUSTADT;171-WIENER NEUS;171
K550186;KLAGENFURT;172-KLAGENFURT;172
K550201;WALS-SIEZENHEIM;173-WALS-SIEZE;173
K550221;NEUNKIRCHEN;174-NEUNKIRCHE;174
K550229;VILLACH;175-VILLACH;175
K550230;ANIF;176-ANIF;176
K550268;GERASDORF;177-GERASDORF;177
K550274;WIEN AUHOF;178-WIEN AUHOF;178
K510105;BUNDESGARTENSCHAU;189-BUNDESGART;189
K500021;LOGISTIK GRUEN;440-LOGISTIK G;440
K500021;Online Versand;443-VERSAND;443
