Datum;Tijd;Lgstk aantal stickers;Relatie nr_;Relatie collicode;Beladings aantallen;Product omschrijving 1;TransactieId;Opmerking5;Entry;Lgstk aantal fust op sticker
2023-04-14 00:00:00.000;1754-01-01 06:58:09.200;1;K510003;005-ST.POELTEN;1x1;Equisetum japonica;9E2C7EA5-8205-436C-AA08-992D288B8DCD;VR;11240222;20
2023-04-14 00:00:00.000;1754-01-01 06:58:09.200;1;K510004;006-SEIERSBERG;1x1;Equisetum japonica;9E2C7EA5-8205-436C-AA08-992D288B8DCD;VR;11240223;20
2023-04-14 00:00:00.000;1754-01-01 06:58:09.200;1;K510005;007-WIEN-HIRSCH;2x1;Equisetum japonica;9E2C7EA5-8205-436C-AA08-992D288B8DCD;VR;11240224;20
2023-04-14 00:00:00.000;1754-01-01 06:58:09.200;1;K510006;008-BRUNN AM G;2x1;Equisetum japonica;9E2C7EA5-8205-436C-AA08-992D288B8DCD;VR;11240225;20
2023-04-14 00:00:00.000;1754-01-01 06:58:09.217;1;K510012;014-ROEDENTAL;1x1;Equisetum japonica;9E2C7EA5-8205-436C-AA08-992D288B8DCD;VR;11240226;20
2023-04-14 00:00:00.000;1754-01-01 06:58:09.217;1;K510017;019-SCHWAEBISC;1x1;Equisetum japonica;9E2C7EA5-8205-436C-AA08-992D288B8DCD;VR;11240227;20
2023-04-14 00:00:00.000;1754-01-01 06:58:09.217;1;K510024;026-HOMBURG;1x1;Equisetum japonica;9E2C7EA5-8205-436C-AA08-992D288B8DCD;VR;11240228;20
2023-04-14 00:00:00.000;1754-01-01 06:58:09.217;1;K510028;030-AMBERG;1x1;Equisetum japonica;9E2C7EA5-8205-436C-AA08-992D288B8DCD;VR;11240229;20
2023-04-14 00:00:00.000;1754-01-01 06:58:09.217;1;K510031;033-MEERANE;1x1;Equisetum japonica;9E2C7EA5-8205-436C-AA08-992D288B8DCD;VR;11240230;20
2023-04-14 00:00:00.000;1754-01-01 06:58:09.233;1;K510036;038-PEISSENBER;1x1;Equisetum japonica;9E2C7EA5-8205-436C-AA08-992D288B8DCD;VR;11240231;20
2023-04-14 00:00:00.000;1754-01-01 06:58:09.233;1;K510037;039-TAUCHA;1x1;Equisetum japonica;9E2C7EA5-8205-436C-AA08-992D288B8DCD;VR;11240232;20
2023-04-14 00:00:00.000;1754-01-01 06:58:09.233;1;K510043;045-MARKKLEEBE;1x1;Equisetum japonica;9E2C7EA5-8205-436C-AA08-992D288B8DCD;VR;11240233;20
2023-04-14 00:00:00.000;1754-01-01 06:58:09.233;1;K510056;058-WEIL;1x1;Equisetum japonica;9E2C7EA5-8205-436C-AA08-992D288B8DCD;VR;11240234;20
2023-04-14 00:00:00.000;1754-01-01 06:58:09.233;1;K510059;061-NEUWIED;2x1;Equisetum japonica;9E2C7EA5-8205-436C-AA08-992D288B8DCD;VR;11240235;20
2023-04-14 00:00:00.000;1754-01-01 06:58:09.233;1;K510070;073-MUENCH. III;1x1;Equisetum japonica;9E2C7EA5-8205-436C-AA08-992D288B8DCD;VR;11240236;20
2023-04-14 00:00:00.000;1754-01-01 06:58:09.247;1;K510076;082-RAIN (BLUM;2x1;Equisetum japonica;9E2C7EA5-8205-436C-AA08-992D288B8DCD;VR;11240237;20
2023-04-14 00:00:00.000;1754-01-01 06:58:09.247;1;K510088;094-PFULLINGEN;1x1;Equisetum japonica;9E2C7EA5-8205-436C-AA08-992D288B8DCD;VR;11240238;20
2023-04-14 00:00:00.000;1754-01-01 06:58:09.247;1;K510095;104-DUSSELDORF;1x1;Equisetum japonica;9E2C7EA5-8205-436C-AA08-992D288B8DCD;VR;11240239;20
2023-04-14 00:00:00.000;1754-01-01 06:58:09.247;1;K550201;173-WALS-SIEZE;1x1;Equisetum japonica;9E2C7EA5-8205-436C-AA08-992D288B8DCD;ZO;11240240;20
2023-04-14 00:00:00.000;1754-01-01 06:58:09.263;1;K510010;012-WITTEN;1x1;Equisetum japonica;9E2C7EA5-8205-436C-AA08-992D288B8DCD;ZO;11240241;20
2023-04-14 00:00:00.000;1754-01-01 06:58:09.263;1;K510016;018-LUDWIGSHAF;1x1;Equisetum japonica;9E2C7EA5-8205-436C-AA08-992D288B8DCD;ZO;11240242;20
2023-04-14 00:00:00.000;1754-01-01 06:58:09.263;1;K510023;025-WORMS;1x1;Equisetum japonica;9E2C7EA5-8205-436C-AA08-992D288B8DCD;ZO;11240243;20
2023-04-14 00:00:00.000;1754-01-01 06:58:09.263;1;K510041;043-AUGSB I (L);1x1;Equisetum japonica;9E2C7EA5-8205-436C-AA08-992D288B8DCD;ZO;11240244;20
2023-04-14 00:00:00.000;1754-01-01 06:58:09.263;1;K510046;048-NEUOETTING;1x1;Equisetum japonica;9E2C7EA5-8205-436C-AA08-992D288B8DCD;ZO;11240245;20
2023-04-14 00:00:00.000;1754-01-01 06:58:09.280;1;K510049;051-MEMMINGEN;1x1;Equisetum japonica;9E2C7EA5-8205-436C-AA08-992D288B8DCD;ZO;11240246;20
2023-04-14 00:00:00.000;1754-01-01 06:58:09.280;1;K510082;088-LANDSHUT;1x1;Equisetum japonica;9E2C7EA5-8205-436C-AA08-992D288B8DCD;ZO;11240247;20
2023-04-14 00:00:00.000;1754-01-01 06:58:09.280;1;K510097;107-HAMBURG I;1x1;Equisetum japonica;9E2C7EA5-8205-436C-AA08-992D288B8DCD;ZO;11240248;20
2023-04-14 00:00:00.000;1754-01-01 06:58:09.280;1;K510102;112-KAMEN;2x1;Equisetum japonica;9E2C7EA5-8205-436C-AA08-992D288B8DCD;ZO;11240249;20
2023-04-14 00:00:00.000;1754-01-01 06:58:09.280;1;K550006;120-BOENNINGSTE;1x1;Equisetum japonica;9E2C7EA5-8205-436C-AA08-992D288B8DCD;ZO;11240250;20
2023-04-14 00:00:00.000;1754-01-01 06:58:09.280;1;K550181;127-NUERNBERG;1x1;Equisetum japonica;9E2C7EA5-8205-436C-AA08-992D288B8DCD;ZO;11240251;20
2023-04-14 00:00:00.000;1754-01-01 06:58:09.297;1;K550183;130-INGOLSTADT;1x1;Equisetum japonica;9E2C7EA5-8205-436C-AA08-992D288B8DCD;ZO;11240252;20
2023-04-14 00:00:00.000;1754-01-01 06:58:09.297;1;K550182;132-WALDSHUT;1x1;Equisetum japonica;9E2C7EA5-8205-436C-AA08-992D288B8DCD;ZO;11240253;20
2023-04-14 00:00:00.000;1754-01-01 06:59:46.480;1;K510001;003-WIEN II S;1x5;Hottonia palustris;C420E85C-2FF5-4036-9260-1062EEE2630B;VR;11240254;50
2023-04-14 00:00:00.000;1754-01-01 06:59:46.497;1;K510002;004-VOELS-CYTA;1x5;Hottonia palustris;C420E85C-2FF5-4036-9260-1062EEE2630B;VR;11240255;50
2023-04-14 00:00:00.000;1754-01-01 06:59:46.500;1;K510004;006-SEIERSBERG;1x5;Hottonia palustris;C420E85C-2FF5-4036-9260-1062EEE2630B;VR;11240256;50
2023-04-14 00:00:00.000;1754-01-01 06:59:46.500;1;K510005;007-WIEN-HIRSCH;2x5;Hottonia palustris;C420E85C-2FF5-4036-9260-1062EEE2630B;VR;11240257;50
2023-04-14 00:00:00.000;1754-01-01 06:59:46.500;1;K510006;008-BRUNN AM G;2x5;Hottonia palustris;C420E85C-2FF5-4036-9260-1062EEE2630B;VR;11240258;50
2023-04-14 00:00:00.000;1754-01-01 06:59:46.500;1;K510008;010-PASCHING-LI;1x5;Hottonia palustris;C420E85C-2FF5-4036-9260-1062EEE2630B;VR;11240259;50
2023-04-14 00:00:00.000;1754-01-01 06:59:46.500;1;K550268;177-GERASDORF;1x5;Hottonia palustris;C420E85C-2FF5-4036-9260-1062EEE2630B;VR;11240260;50
2023-04-14 00:00:00.000;1754-01-01 06:59:46.517;1;K510009;011-HEIDESHEIM;1x5;Hottonia palustris;C420E85C-2FF5-4036-9260-1062EEE2630B;VR;11240261;50
2023-04-14 00:00:00.000;1754-01-01 06:59:46.517;1;K510012;014-ROEDENTAL;1x5;Hottonia palustris;C420E85C-2FF5-4036-9260-1062EEE2630B;VR;11240262;50
2023-04-14 00:00:00.000;1754-01-01 06:59:46.517;1;K510017;019-SCHWAEBISC;1x5;Hottonia palustris;C420E85C-2FF5-4036-9260-1062EEE2630B;VR;11240263;50
2023-04-14 00:00:00.000;1754-01-01 06:59:46.517;1;K510019;021-RASTATT;1x5;Hottonia palustris;C420E85C-2FF5-4036-9260-1062EEE2630B;VR;11240264;50
2023-04-14 00:00:00.000;1754-01-01 06:59:46.530;1;K510020;022-HALLE;1x5;Hottonia palustris;C420E85C-2FF5-4036-9260-1062EEE2630B;VR;11240265;50
2023-04-14 00:00:00.000;1754-01-01 06:59:46.530;1;K510024;026-HOMBURG;2x5;Hottonia palustris;C420E85C-2FF5-4036-9260-1062EEE2630B;VR;11240266;50
2023-04-14 00:00:00.000;1754-01-01 06:59:46.530;1;K510026;028-CHEMNITZ-RO;1x5;Hottonia palustris;C420E85C-2FF5-4036-9260-1062EEE2630B;VR;11240267;50
2023-04-14 00:00:00.000;1754-01-01 06:59:46.530;1;K510031;033-MEERANE;1x5;Hottonia palustris;C420E85C-2FF5-4036-9260-1062EEE2630B;VR;11240268;50
2023-04-14 00:00:00.000;1754-01-01 06:59:46.530;1;K510033;035-SAARBRUECK;1x5;Hottonia palustris;C420E85C-2FF5-4036-9260-1062EEE2630B;VR;11240269;50
2023-04-14 00:00:00.000;1754-01-01 06:59:46.547;1;K510036;038-PEISSENBER;1x5;Hottonia palustris;C420E85C-2FF5-4036-9260-1062EEE2630B;VR;11240270;50
2023-04-14 00:00:00.000;1754-01-01 06:59:46.547;1;K510037;039-TAUCHA;1x5;Hottonia palustris;C420E85C-2FF5-4036-9260-1062EEE2630B;VR;11240271;50
