2023-05-16 00:00:00.000;1754-01-01 10:22:35.280;1;K510098;108-HAMBURG II;4x1;Sedum Wandarella;0B5956C5-F2DF-43E2-B9E4-002D0C76EACD;DI;11524907
2023-05-16 00:00:00.000;1754-01-01 10:33:52.377;1;K550229;175-VILLACH;1x4;Juniperus squam. Blue Carpet;E5977543-C47F-43AF-BAEE-003AEAA27B03;DI;11525369
2023-05-16 00:00:00.000;1754-01-01 10:33:52.393;1;K510019;021-RASTATT;1x4;Juniperus squam. Blue Carpet;E5977543-C47F-43AF-BAEE-003AEAA27B03;DI;11525370
2023-05-16 00:00:00.000;1754-01-01 10:33:52.393;1;K510039;041-STRAUBING;1x4;Juniperus squam. Blue Carpet;E5977543-C47F-43AF-BAEE-003AEAA27B03;DI;11525371
2023-05-16 00:00:00.000;1754-01-01 10:33:52.393;1;K510053;055-PASSAU;1x4;Juniperus squam. Blue Carpet;E5977543-C47F-43AF-BAEE-003AEAA27B03;DI;11525372
2023-05-16 00:00:00.000;1754-01-01 10:33:52.393;1;K510065;067-WOLFRATSHA;1x4;Juniperus squam. Blue Carpet;E5977543-C47F-43AF-BAEE-003AEAA27B03;DI;11525373
2023-05-16 00:00:00.000;1754-01-01 10:33:52.393;1;K510066;068-FRIEDRICHS;1x4;Juniperus squam. Blue Carpet;E5977543-C47F-43AF-BAEE-003AEAA27B03;DI;11525374
2023-05-16 00:00:00.000;1754-01-01 10:33:52.393;1;K510078;084-INGOLSTADT;1x4;Juniperus squam. Blue Carpet;E5977543-C47F-43AF-BAEE-003AEAA27B03;DI;11525375
2023-05-16 00:00:00.000;1754-01-01 10:33:52.407;1;K510097;107-HAMBURG I;1x4;Juniperus squam. Blue Carpet;E5977543-C47F-43AF-BAEE-003AEAA27B03;DI;11525376
2023-05-16 00:00:00.000;1754-01-01 10:33:52.407;1;K550183;130-INGOLSTADT;1x4;Juniperus squam. Blue Carpet;E5977543-C47F-43AF-BAEE-003AEAA27B03;DI;11525377
2023-05-16 00:00:00.000;1754-01-01 10:33:52.407;1;K510012;014-ROEDENTAL;1x4;Juniperus squam. Blue Carpet;E5977543-C47F-43AF-BAEE-003AEAA27B03;DO;11525378
2023-05-16 00:00:00.000;1754-01-01 10:33:52.423;1;K510016;018-LUDWIGSHAF;1x4;Juniperus squam. Blue Carpet;E5977543-C47F-43AF-BAEE-003AEAA27B03;DO;11525379
2023-05-16 00:00:00.000;1754-01-01 10:33:52.423;1;K510040;042-HOFHEIM;1x4;Juniperus squam. Blue Carpet;E5977543-C47F-43AF-BAEE-003AEAA27B03;DO;11525380
2023-05-16 00:00:00.000;1754-01-01 10:33:52.423;1;K510043;045-MARKKLEEBE;1x4;Juniperus squam. Blue Carpet;E5977543-C47F-43AF-BAEE-003AEAA27B03;DO;11525381
2023-05-16 00:00:00.000;1754-01-01 10:33:52.423;1;K510055;057-OBERKOTZAU;1x4;Juniperus squam. Blue Carpet;E5977543-C47F-43AF-BAEE-003AEAA27B03;DO;11525382
2023-05-16 00:00:00.000;1754-01-01 10:33:52.423;1;K510057;059-NEUSTADT;1x4;Juniperus squam. Blue Carpet;E5977543-C47F-43AF-BAEE-003AEAA27B03;DO;11525383
2023-05-16 00:00:00.000;1754-01-01 10:33:52.437;1;K510059;061-NEUWIED;1x4;Juniperus squam. Blue Carpet;E5977543-C47F-43AF-BAEE-003AEAA27B03;DO;11525384
2023-05-16 00:00:00.000;1754-01-01 10:33:52.437;1;K510062;064-BAD KREUZN;1x4;Juniperus squam. Blue Carpet;E5977543-C47F-43AF-BAEE-003AEAA27B03;DO;11525385
2023-05-16 00:00:00.000;1754-01-01 10:33:52.437;1;K510063;065-KOBLENZ;1x4;Juniperus squam. Blue Carpet;E5977543-C47F-43AF-BAEE-003AEAA27B03;DO;11525386
2023-05-16 00:00:00.000;1754-01-01 10:33:52.437;1;K550173;131-HALLE-PEISS;1x4;Juniperus squam. Blue Carpet;E5977543-C47F-43AF-BAEE-003AEAA27B03;DO;11525387
2023-05-16 00:00:00.000;1754-01-01 10:33:52.453;1;K510008;010-PASCHING-LI;1x4;Juniperus squam. Blue Carpet;E5977543-C47F-43AF-BAEE-003AEAA27B03;DO;11525388
2023-05-16 00:00:00.000;1754-01-01 10:33:52.453;1;K510018;020-HEIDENHEIM;1x4;Juniperus squam. Blue Carpet;E5977543-C47F-43AF-BAEE-003AEAA27B03;DO;11525389
